REF_AREA_LABEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Prevalence of undernourishment (% of population),"Life expectancy at birth, total (years)","School enrollment, secondary (% gross)",Proportion of seats held by women in national parliaments (%),People using at least basic drinking water services (% of population),Access to electricity (% of population),GDP per capita (constant 2015 US$),Individuals using the Internet (% of population),Gini index,Urban population (% of total population),Combustible renewables and waste (% of total energy),Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Terrestrial and marine protected areas (% of total territorial area),Forest area (% of land area),Control of Corruption: Estimate,"Personal remittances, received (% of GDP)"
Bangladesh,8.0,12.100000000000001,72.3072,69.15423512499197,20.70945558739258,97.92026136711856,94.74000000000001,1627.5108161614378,34.519999999999996,33.4,38.1742,17.010874427082523,111.35535999999999,4.9,14.468771606360912,-1.0020002603530878,5.179330363505903
Barbados,0.5279999999999999,3.2600000000000002,76.3552,106.12170410156241,21.33333333333334,98.51245013483022,100.0,17853.124171119747,75.97999999999999,33.132,31.2132,33.3094053029556,0.7523800000000002,0.0,14.65116279069768,1.244444584846494,1.5216652034058777
Belarus,0.0,2.5,73.34316585365855,95.03540039062497,38.9090909090909,98.7568685977344,99.86,6269.997382956399,84.67999999999999,24.96666666666667,79.47160000000001,6.4967637780114345,59.7127,11.16,43.19589290369586,-0.22420816197991375,1.98578820443594
Belgium,0.06000000000000001,2.5,81.5648780487805,150.1908477783202,41.2,99.99999925269432,100.0,42740.503514460965,91.44,26.68,98.07820000000001,7.246250807808863,95.64758,20.78,22.604595036322397,1.454869723320008,2.3637570237735916
Belize,1.0,4.540000000000001,71.9172,87.07502288818361,10.685483870967742,98.4021081150178,95.5,5742.746890584008,63.86,39.9,46.0424,21.099918507569505,0.24828,20.9,55.986409469530905,-0.224235314130783,4.918104960219587
Benin,32.2,10.88,59.96740000000001,45.727667490641295,7.505577867023651,66.89959458572375,43.7,1141.441114743784,23.96,36.15,48.4188,55.35500946718562,7.585120000000001,23.5,27.80374246186591,-0.20427428334951397,1.3896437299597895
Bhutan,0.0,9.896,72.2342,89.44065831689824,15.818686401480118,98.97549346210945,100.0,3283.1994209410136,77.3,28.5,42.3034,19.4827936559234,1.85858,49.019999999999996,71.44939695857369,1.560531258583068,2.7355277505681173
Bolivia,3.6799999999999997,17.84,65.45720000000001,90.60856018066406,48.92307692307696,93.08175379277168,96.71999999999998,3148.045339935347,57.02,41.980000000000004,70.12519999999998,12.161820177429872,21.402139999999996,30.9,46.92291658820271,-0.8176663994789125,3.3222219353344435
Bosnia and Herzegovina,4.416,2.5,76.54400000000001,85.49582061767579,22.38095238095238,96.11361371629357,100.0,5751.347308944572,73.53999999999999,40.434000000000005,49.0314,17.509071453706234,22.972299999999997,2.9,42.7326171875,-0.6493849635124208,10.594155509213092
Botswana,4.339,23.22,66.6466,70.0183868408203,10.588522588522604,92.18174571568758,71.96,6821.064797220944,68.84,37.843333333333334,70.8558,27.1601440331141,7.102079999999999,29.1,26.917050447302948,0.6684621334075928,0.30800820766978043
