Country,Country_code,PC1,PC2,PC3,Cluster
Colombia,COL,0.821354058798107,0.2464190610059819,2.732344769516043,0
Comoros,COM,-3.158849975440732,-1.6722322387754136,0.0699846472483916,1
"Congo, Dem. Rep.",COD,-6.863704289940598,2.1617022626716884,0.6120956235367735,1
"Congo, Rep.",COG,-2.7583450121754454,1.2176970390546802,0.6443257137513301,1
Costa Rica,CRI,2.375000996997379,0.8866841407154704,2.309546804208745,0
Cote d'Ivoire,CIV,-2.5631396377098947,0.1285653709652023,-0.7485754629258479,1
Croatia,HRV,1.5760200078925712,-0.1902924332250169,-0.3037808331539887,0
Cuba,CUB,1.5262497721277892,0.1031769076196696,0.3464752655719209,0
Cyprus,CYP,2.412160910816645,-0.5234880689792789,-0.6793272965773045,0
Czechia,CZE,2.47448083217288,0.0588938632605802,-0.5930110395153547,0
Denmark,DNK,3.9011823124731007,1.757781205775523,-1.6008025190175277,2
Djibouti,DJI,-1.661242532471248,0.0033694664348305,-0.3905567151529318,1
Dominica,DMA,0.4951372164782217,-0.1180923401890152,1.5444886134975278,0
Dominican Republic,DOM,0.9681806080180632,-0.472476943659155,1.1962398243803314,0
Ecuador,ECU,0.6198971691318785,0.2559867646658816,1.828446990649321,0
"Egypt, Arab Rep.",EGY,0.5107128459646829,-1.6859113820824323,-1.0592807389948784,0
El Salvador,SLV,0.0202784254660477,-2.059042605580058,0.3720738328176119,0
Equatorial Guinea,GNQ,-0.4539081645580143,-0.395114537994892,2.3802383403562484,1
Eritrea,ERI,-4.109590817156124,0.1440342416251713,-1.2014361955882835,1
Estonia,EST,2.600657721587646,0.701483051017808,0.4598298284794399,0
Eswatini,SWZ,-2.031750390690489,-0.7741027538045144,-0.3649386699933561,1
Ethiopia,ETH,-4.338295113638698,1.677519409143983,-1.779628989092092,1
Fiji,FJI,0.5977298047769453,-1.0139359702580488,0.6835142511542487,0
Finland,FIN,3.900694821493455,1.8382852135564265,0.2624725169646957,2
France,FRA,3.211888656543875,1.5985801046893824,-0.4348274283004038,2
Gabon,GAB,-1.0250836934302157,1.1872030151618542,2.4183434904249577,1
"Gambia, The",GMB,-2.08042513191125,-1.4187754675190818,0.0425405803998396,1
Georgia,GEO,1.155813899954207,-1.3071034210005292,0.4701588944915944,0
Germany,DEU,3.295127674857922,1.8566215481397397,-0.4006352287647935,2
Ghana,GHA,-0.8356746842603285,-0.6999073794388337,-0.0881906278141155,1
Greece,GRC,2.2691794174853555,-0.3041375486264731,0.0162907287071164,0
Grenada,GRD,0.1666366030427565,0.1027501793214806,1.2293320504601786,0
Guatemala,GTM,-1.2869878107178805,-1.4492647634854956,-0.0126321925989757,1
Guinea,GIN,-3.179837012319443,0.5321427835456725,-1.0071965441520423,1
Guinea-Bissau,GNB,-4.580600927037027,0.3526223266064264,0.5224386262861614,1
Guyana,GUY,0.0768213075400596,-0.4595002819997539,2.16226880277155,0
Haiti,HTI,-5.055500068833669,-0.6436038441269085,-0.3962944297562256,1
Honduras,HND,-1.6310822844580664,-1.195070773379516,2.0001813686897294,1
Hungary,HUN,1.969269873997168,-0.5063033799995759,-0.3968921795762256,0
Iceland,ISL,4.005666680414829,0.7491553228415594,-2.2071431389847893,2
India,IND,-0.281763340139192,-1.4745475856429535,-0.7327842491797099,1
Indonesia,IDN,0.3254620106325864,-0.7292764165739175,0.944518476003818,0
"Iran, Islamic Rep.",IRN,0.9959451794216096,-1.3975550634366294,-0.1007972308681737,0
Iraq,IRQ,0.4676997925751879,-1.2820241158335348,-0.8634692012822769,0
